Content,Date,User
"Viejito, el día que aceptes que la haz cagado en muchas cosas y busques reconciliación con el sector privado y los emprendedores, ese dia quizá se pueda mejorar la situación, mientras sigas con tu melagomanía nos seguirá cargando la chingada..",30 ago.,@alextrancevibe
"Visité el H. Colegio Militar recién terminado el conjunto (era yo un bebé de una semana, je, je) y esos cerros estaban muy pelones. Ahora se ve un bosque muy avanzado.",30 ago.,@feliciano1953
"Es un honor estar con Obrador. 🇲🇽
Y una diversión ver cómo explotan de rabia los fanáticos de Calderón.",30 ago.,@ElReyTuitero
"😂😂😂😂😂😂😂😂😂😂😂😂😂

Ridículo! 

Todos los de contratos directos amigos o familiares de funcionarismos te mandan saludos!✍️🧐",30 ago.,@DonPorfifirio
"63,000 muertos.
12 millones de personas que pierden fuente de ingresos.
Pérdidas históricas de Pemex.
Incremento imparable de feminicidios.
Niños con Cáncer sin tratamiento desde hace meses.
Recesión económica desde el inicio del gobierno actual.
Incremento en la inseguridad.",29 ago.,@alexsoldela
"Cínicamente,  así nada más",29 ago.,@CeltaMexa
"Mensaje enviado a todas las mascotas del imperio que se traduce: Si se mueren por covid o de hambre no se preocupen, ustedes son el ejemplo de austeridad republicana y serán recordados como héroes de la 4T. Vaya cinismo.",29 ago.,@luisfergarcia
"@lopezobrador_ Una pregunta ¿Economía moral 
es dejar sin tratamiento médico a los niños enfermos de cáncer?",29 ago.,@LuisArm28147370
"Eres un insulto para los mexicanos.
No tienes con que sacar a México de esta situación 
#AmloCorruptoMafioso",29 ago.,@paquitodom
"#ElMentirosoMasGrandeDelMundo es patètico presumiendo remesas y apoyos que no existen, mèxico es de los países que menos a ayudado a sus ciudadanos ante la pandemia.",29 ago.,@IJ0ACHIM
"-Estamos ayudando con ¡Créditos, Pensiones, Becas!-
  Créditos de $25 mil (que a nadie interesaron)Becas de $ 3,000 que se toman en una noche.
 Que poco quiere para los Mexicanos este Pelele.
Piensa que todos nos conformamos con la comoda mediocridad de sus Chairos.",29 ago.,@cuattro1968
"Nunca creí que usted fuera una amenaza para Mexico, pero en estos años confirmó que si lo era, incapacidad, ineptitud, corrupción, inseguridad, fuga de inversiones, ingobernabilidad, todo lo ha logrado y sin ayuda.",30 ago.,@enherguz
Empleo bienestar....y aportaciones voluntarias,30 ago.,@cebarilla
"Cuidese mucho Presidente por que aún le falta otro sexenio con nosotros, lo vamos a reelegir. 🥰😉",30 ago.,@Brenn0505
"Padres de niños brutalmente asesinados (LeBaron), o secuestrados (Sicilia), o de niños con cáncer, le insisten a López reunirse con ellos para atenderlos. El presidentito prefiere recibir a caricaturistas para abiertamente mostrar que le URGE su apoyo al perder popularidad 😡😡😡",30 ago.,@RexMarin
Puro mugroso resentido,30 ago.,@MonomitoMex
Espero que esos monederos hagan una caricatura sobre un grupo de personas de población vulnerable que no se cuidan que no usan cubrebocas ni siguen las medidas de sana distancia,30 ago.,@ISROAGM
"64 mil fallecidos por COVID, niños muriendo de cáncer por falta de medicamento, millones de empleos perdidos, familias sin dinero ni para comer

Y tu atendiendo a payasitos con ""sentido del humor""

Estas disfrutando tanto el poder, que no te das cuenta que lo pierdes rapidamente",30 ago.,@DTigreregio
"Gracias Presidente Licenciado Andrés Manuel López Obrador, yo estoy con Usted y no con los corruptos que dejaron el país en bancarrota y ahora envían sus mensajes como si antes el país hubiera sido un paraíso, cuánto les duele ya no poder robar.
Yo 💯 AMLO.",29 ago.,@Blanch36175684
"En su mundo paralelo eso es un triunfo, es obvio que no es economista ni entiende ni papa de finanzas! Quien fregados lo asesora don MALO?",29 ago.,@Arita12198321
"No @lopezobrador_  contigo jamás Mexico saldrá adelante nos estás llevando al precipicio, este es el peor sexenio de la historia! #AmloCinicoTraidor #ElPeorPresidenteDeLaHistoria",29 ago.,@KalEl7612
"El pueblo de México tal vez, pero usted es un papanatas.",29 ago.,@abe160892
